module,metric,mean,std
EmergencyLaneScenario.node[7].nic.mac1609_4,SentAcknowledgements,0.0,0.0
EmergencyLaneScenario.node[11].nic.mac1609_4,channelBusy:timeavg,0.00221535234899,0.0
EmergencyLaneScenario.node[34].appl,receivedWSAs,0.0,0.0
EmergencyLaneScenario.node[4].nic.mac1609_4,TimesIntoBackoff,50.5,71.4177848998
EmergencyLaneScenario.node[24].veinsmobility,totalCO2Emission,27.9466518653,0.0
EmergencyLaneScenario.node[32].veinsmobility,totalCO2Emission,138.001802506,0.0
EmergencyLaneScenario.node[0].nic.mac1609_4,collisions:count,0.0,0.0
EmergencyLaneScenario.node[32].appl,emergencyMessagesReceived,0.0,0.0
EmergencyLaneScenario.node[10].nic.mac1609_4,TooLittleTime,0.0,0.0
EmergencyLaneScenario.node[5].appl,generatedBSMs,37.5,53.033008589
EmergencyLaneScenario.node[9].veinsmobility,totalCO2Emission,38.1530635579,53.2417887871
EmergencyLaneScenario.node[33].nic.mac1609_4,RetriesExceeded,0.0,0.0
EmergencyLaneScenario.node[18].appl,receivedBSMs,653.0,0.0
EmergencyLaneScenario.node[9].appl,receivedWSAs,0.0,0.0
EmergencyLaneScenario.node[23].nic.mac1609_4,channelBusy:timeavg,0.00279100961538,0.0
EmergencyLaneScenario.node[14].appl,receivedWSMs,5.0,0.0
EmergencyLaneScenario.node[13].nic.mac1609_4,collisions:count,0.0,0.0
EmergencyLaneScenario.node[31].nic.mac1609_4,RetriesExceeded,0.0,0.0
EmergencyLaneScenario.node[5].nic.mac1609_4,sentAcks:count,0.0,0.0
EmergencyLaneScenario.node[33].veinsmobility,startTime,48.0,0.0
EmergencyLaneScenario.node[7].veinsmobility,totalTime,18.1,17.9605122421
EmergencyLaneScenario.node[11].appl,avgResponseTime,39.000021752,0.0
EmergencyLaneScenario.node[6].nic.mac1609_4,SentAcknowledgements,0.0,0.0
EmergencyLaneScenario.node[3].veinsmobility,stopTime,45.5,32.3854905783
EmergencyLaneScenario.node[24].nic.mac1609_4,TooLittleTime,0.0,0.0
EmergencyLaneScenario.node[12].appl,receivedBSMs,842.0,0.0
EmergencyLaneScenario.node[24].nic.mac1609_4,retriesExceeded:count,0.0,0.0
EmergencyLaneScenario.node[18].nic.mac1609_4,RXTXLostPackets,0.0,0.0
EmergencyLaneScenario.node[27].nic.mac1609_4,sentPackets:count,96.0,0.0
EmergencyLaneScenario.node[9].appl,generatedBSMs,16.0,22.627416998
EmergencyLaneScenario.rsu[0].appl,receivedBSMs,779.5,1102.37947187
EmergencyLaneScenario.node[10].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[5].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[28].appl,generatedBSMs,48.0,0.0
EmergencyLaneScenario.node[13].veinsmobility,startTime,17.2,0.0
EmergencyLaneScenario.node[31].appl,receivedWSMs,0.0,0.0
EmergencyLaneScenario.node[26].veinsmobility,minSpeed,0.0,0.0
EmergencyLaneScenario.node[5].appl,emergencyMessagesReceived,0.5,0.707106781187
EmergencyLaneScenario.node[0].nic.mac1609_4,DroppedPacketsInMac,0.0,0.0
EmergencyLaneScenario.node[12].appl,avgResponseTime,27.4999366453,0.0
EmergencyLaneScenario.node[27].appl,generatedWSMs,0.0,0.0
EmergencyLaneScenario.node[21].nic.mac1609_4,TimesIntoBackoff,90.0,0.0
EmergencyLaneScenario.node[5].veinsmobility,stopTime,51.3,40.5879292401
EmergencyLaneScenario.node[7].nic.mac1609_4,NumInternalContention,0.0,0.0
EmergencyLaneScenario.node[3].veinsmobility,totalDistance,333.052619033,189.082188726
EmergencyLaneScenario.node[17].nic.mac1609_4,sentPackets:count,19.0,0.0
EmergencyLaneScenario.node[12].nic.mac1609_4,SNIRLostPackets,0.0,0.0
EmergencyLaneScenario.node[2].veinsmobility,totalCO2Emission,89.5225861076,58.8844990967
EmergencyLaneScenario.node[3].veinsmobility,totalCO2Emission,98.0779713629,73.5827093143
EmergencyLaneScenario.node[32].appl,laneChangesPerformed,0.0,0.0
EmergencyLaneScenario.node[19].nic.mac1609_4,DroppedPacketsInMac,0.0,0.0
EmergencyLaneScenario.node[16].appl,generatedWSMs,0.0,0.0
EmergencyLaneScenario.node[16].veinsmobility,totalTime,30.0,0.0
EmergencyLaneScenario.node[1].nic.mac1609_4,DroppedPacketsInMac,0.0,0.0
EmergencyLaneScenario.node[7].nic.mac1609_4,channelBusy:timeavg,0.00101498397436,0.00143540410213
EmergencyLaneScenario.node[1].veinsmobility,minSpeed,5.0,7.07106781187
EmergencyLaneScenario.rsu[1].nic.mac1609_4,RetriesExceeded,0.0,0.0
EmergencyLaneScenario.node[13].nic.mac1609_4,ReceivedBroadcasts,1044.0,0.0
EmergencyLaneScenario.node[15].veinsmobility,stopTime,48.4,0.0
EmergencyLaneScenario.node[5].appl,generatedWSMs,0.0,0.0
EmergencyLaneScenario.node[31].nic.mac1609_4,collisions:count,0.0,0.0
EmergencyLaneScenario.node[21].nic.mac1609_4,ReceivedBroadcasts,1172.0,0.0
